Topic,Count,Percentage,Topic Label (to be filled in by reviewer),Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,top_documents,quick fix,slow fix,hot topic,first time,easy fix,hard fix,Related Tools,Kadiray,Miao,agree,top_documents_repo
0,228,0.0730301089,Rule Definitions,"['rule', 'code', 'propose', 'flag', 'apex', 'describe', 'property', 'description', 'category', 'possible']","['rule flag', 'description rule', 'rule customizable', 'flag rule', 'properties rule', 'apex rule', 'rule propose', 'code flag', 'propose rule', 'rule rule']","['rule', 'code', 'propose', 'apex', 'category', 'ruleset', 'describe', 'description', 'flag', 'property']","['apex', 'category', 'ruleset', 'description', 'flag', 'propose category', 'propose rule', 'code sample', 'properties', 'rule propose']","https://github.com/pmd/pmd/issues/2845
https://github.com/pmd/pmd/issues/5304
https://github.com/pmd/pmd/issues/1495
https://github.com/pmd/pmd/issues/5427
https://github.com/pmd/pmd/issues/2851",19,42,57,2,2,40,"pmd/pmd (193)
phpstan/phpstan (20)
spotbugs/spotbugs (5)
diffblue/cbmc (4)
soot-oss/SootUp (4)
facebook/infer (1)
soot-oss/soot (1)",new rules to enforce best practices,Request for new rule,Y,"https://github.com/soot-oss/soot/issues/49
https://github.com/phpstan/phpstan/issues/10206
https://github.com/diffblue/cbmc/issues/6751
https://github.com/soot-oss/SootUp/issues/384
https://github.com/opalj/opal/issues/13"
1,196,0.06278026906,Type Inference,"['array', 'key', 'value', 'request', 'shape', 'feature request', 'feature', 'array shape', 'help', 'happy way']","['array feature', 'array shape', 'array key', 'arraytype', 'define array', 'array array', 'array', 'value array', 'array_filter', 'param array']","['array', 'key', 'shape', 'request', 'value', 'feature', 'help', 'happy', 'happy way', 'today']","['array', 'key', 'feature request', 'feature', 'array shape', 'array key', 'list', 'array feature', 'expect', 'template']","https://github.com/phpstan/phpstan/issues/10206
https://github.com/phpstan/phpstan/issues/4298
https://github.com/phpstan/phpstan/issues/7275
https://github.com/phpstan/phpstan/issues/6892
https://github.com/phpstan/phpstan/issues/2322",63,30,65,2,2,0,"phpstan/phpstan (187)
diffblue/cbmc (6)
soot-oss/SootUp (1)
opalj/opal (1)
soot-oss/soot (1)",improvements for array types,Advanced Array Shape Typing and Inference,Y,"https://github.com/facebook/infer/issues/1108
https://github.com/phpstan/phpstan/issues/2842
https://github.com/pmd/pmd/issues/264
https://github.com/diffblue/cbmc/issues/7661"
2,179,0.05733504164,Type Inference,"['phpdoc', 'feature', 'request', 'feature request', 'annotation', 'stub', 'help', 'param', 'support', 'happy']","['phpdoc feature', 'phpdoc param', 'phpdoc', 'phpdoc block', 'error phpdoc', 'var annotation', 'annotation', 'php7', 'phpstan', 'feature request']","['phpdoc', 'annotation', 'request', 'feature', 'symfony', 'param', 'var', 'error', 'help', 'happy']","['phpdoc', 'annotation', 'feature request', 'symfony', 'param', 'var', 'error', 'help today', 'doctrine', 'template']","https://github.com/phpstan/phpstan/issues/2842
https://github.com/phpstan/phpstan/issues/3005
https://github.com/phpstan/phpstan/issues/10742
https://github.com/phpstan/phpstan/issues/7183
https://github.com/phpstan/phpstan/issues/5736",74,18,56,1,0,0,"phpstan/phpstan (168)
diffblue/cbmc (9)
pmd/pmd (1)
facebook/infer (1)",improvements for return types,Smarter Type Inference and PHPDoc Interpretation,Y,"https://github.com/facebook/infer/issues/1799
https://github.com/soot-oss/soot/issues/636
https://github.com/phpstan/phpstan/issues/8503
https://github.com/spotbugs/spotbugs/issues/879
https://github.com/pmd/pmd/issues/1620
https://github.com/diffblue/cbmc/issues/6468
https://github.com/secure-software-engineering/phasar/issues/728
https://github.com/soot-oss/SootUp/issues/727
https://github.com/secure-software-engineering/FlowDroid/issues/774
https://github.com/wala/WALA/issues/1133
https://github.com/arguslab/Argus-SAF/issues/30
https://github.com/security-code-scan/security-code-scan/issues/91
https://bitbucket.org/yanniss/doop-deprecated/issues/58/improvement-of-constant-folding-addon
https://github.com/cs-au-dk/TAJS/issues/6
https://github.com/opalj/opal/issues/223"
3,133,0.04260089686,Error Messages Refinement,"['request', 'feature request', 'feature', 'expect', 'value', 'range', 'comparison', 'integer', 'happy', 'foo']","['asserttype filter_var', 'expect output', 'expect error', 'value specify', 'option min_range', 'filter_varstr option', 'integer range', 'min_range max_range', 'min_range', 'request expect']","['request', 'feature', 'range', 'numeric', 'value', 'integer', 'dump', 'happy', 'min_range', 'happy way']","['expect', 'range', 'asserttype', 'filter_var', 'min_range', 'expect output', 'max_range', 'option min_range', 'filter_varstr', 'expect error']","https://github.com/phpstan/phpstan/issues/5522
https://github.com/phpstan/phpstan/issues/7834
https://github.com/phpstan/phpstan/issues/10814
https://github.com/phpstan/phpstan/issues/1421
https://github.com/phpstan/phpstan/issues/10547",34,24,30,2,0,4,"phpstan/phpstan (118)
diffblue/cbmc (6)
soot-oss/SootUp (4)
spotbugs/spotbugs (2)
pmd/pmd (2)
cs-au-dk/TAJS (1)",Improving Error Messages,Improving Error Messages,Y,"https://github.com/facebook/infer/issues/1598
https://github.com/soot-oss/soot/issues/1064
https://github.com/phpstan/phpstan/issues/3657
https://github.com/diffblue/cbmc/issues/1859
https://github.com/secure-software-engineering/phasar/issues/76
https://github.com/soot-oss/SootUp/issues/71
https://github.com/secure-software-engineering/FlowDroid/issues/288
https://github.com/wala/WALA/issues/1459
https://github.com/scottrogowski/code2flow/issues/3
https://github.com/vitsalis/PyCG/issues/39
https://github.com/opalj/opal/issues/207"
4,190,0.06085842409,Unable to summarize a topic,"['pointer', 'std', 'line', '__u', 'std __u', 'loop', 'program', 'implement', 'main', 'allocator']","['pointer check', 'failure pointer', 'pointer', 'invalid pointer', 'implement', 'program', 'dereference failure', 'x86_64', 'instruction', 'code']","['pointer', 'loop', 'program', 'failure', 'dereference', 'check', 'success', 'analysis', 'instruction', 'line']","['pointer', 'program', 'line dereference', 'dereference failure', 'success line', 'exit', 'failure pointer', 'uint32_t', 'myprocessbuilder', 'termination']","https://github.com/diffblue/cbmc/issues/6468
https://github.com/facebook/infer/issues/1799
https://github.com/diffblue/cbmc/issues/7821
https://github.com/diffblue/cbmc/issues/6841
https://github.com/diffblue/cbmc/issues/8217",12,44,9,1,3,18,"diffblue/cbmc (89)
soot-oss/SootUp (17)
secure-software-engineering/phasar (15)
security-code-scan/security-code-scan (13)
soot-oss/soot (10)
spotbugs/spotbugs (10)
pmd/pmd (9)
phpstan/phpstan (8)
facebook/infer (6)
wala/WALA (5)
secure-software-engineering/FlowDroid (2)
yanniss/doop-deprecated (2)
arguslab/Argus-SAF (2)
cs-au-dk/TAJS (1)
opalj/opal (1)",Request for new rule,Unable to summarize a topic,N,"https://github.com/phpstan/phpstan/issues/5522
https://github.com/spotbugs/spotbugs/issues/561
https://github.com/pmd/pmd/issues/412
https://github.com/diffblue/cbmc/issues/1340
https://github.com/soot-oss/SootUp/issues/335
https://github.com/cs-au-dk/TAJS/issues/2"
5,133,0.04260089686,Documentation,"['documentation', 'github', 'page', 'release', 'build', 'logo', 'project', 'doc', 'need', 'version']","['documentation', 'upgrade guide', 'github', 'github actions', 'build tool', 'build source', 'repo', 'guide', 'maintain', 'repository']","['documentation', 'github', 'page', 'release', 'build', 'website', 'devdoc', 'wiki', 'project', 'note']","['documentation', 'github', 'build', 'devdoc', 'userdoc', 'release note', 'travis', 'changelog', 'version', 'sourceforge']","https://github.com/facebook/infer/issues/1171
https://github.com/pmd/pmd/issues/791
https://github.com/facebook/infer/issues/1228
https://github.com/diffblue/cbmc/issues/7907
https://github.com/pmd/pmd/issues/985",19,25,27,1,5,11,"pmd/pmd (42)
phpstan/phpstan (24)
diffblue/cbmc (12)
spotbugs/spotbugs (12)
soot-oss/soot (11)
soot-oss/SootUp (11)
secure-software-engineering/phasar (8)
facebook/infer (7)
wala/WALA (4)
opalj/opal (1)
secure-software-engineering/FlowDroid (1)",Improvements for documentation site,Improvements for documentation site,Y,"https://github.com/soot-oss/soot/issues/279
https://github.com/phpstan/phpstan/issues/4392
https://github.com/pmd/pmd/issues/1115
https://github.com/wala/WALA/issues/256
https://github.com/security-code-scan/security-code-scan/issues/24
https://github.com/cs-au-dk/TAJS/issues/3"
6,174,0.05573350416,Config Files,"['file', 'path', 'cache', 'config', 'configuration', 'directory', 'project', 'option', 'neon', 'request']","['path config', 'configuration file', 'path file', 'relative path', 'config file', 'file path', 'configdir', 'filepath', 'path command', 'absolute path']","['file', 'path', 'config', 'relative', 'configuration', 'relative path', 'setting', 'option', 'directory', 'project']","['path', 'config', 'configuration', 'config file', 'relative path', 'configuration file', 'directory', 'absolute path', 'configure', 'filepath']","https://github.com/phpstan/phpstan/issues/171
https://github.com/phpstan/phpstan/issues/145
https://github.com/phpstan/phpstan/issues/8422
https://github.com/security-code-scan/security-code-scan/issues/37
https://github.com/phpstan/phpstan/issues/8011",63,26,51,0,2,9,"phpstan/phpstan (110)
pmd/pmd (20)
spotbugs/spotbugs (10)
soot-oss/SootUp (7)
facebook/infer (5)
soot-oss/soot (4)
scottrogowski/code2flow (4)
diffblue/cbmc (3)
security-code-scan/security-code-scan (2)
opalj/opal (2)
wala/WALA (2)
secure-software-engineering/FlowDroid (2)
cs-au-dk/TAJS (1)
secure-software-engineering/phasar (1)
vitsalis/PyCG (1)",improvements to config,Improvements for config file usage,Y,"https://github.com/facebook/infer/issues/1171
https://github.com/soot-oss/soot/issues/446
https://github.com/phpstan/phpstan/issues/6004
https://github.com/spotbugs/spotbugs/issues/875
https://github.com/pmd/pmd/issues/791
https://github.com/diffblue/cbmc/issues/7907
https://github.com/secure-software-engineering/phasar/issues/538
https://github.com/soot-oss/SootUp/issues/1003
https://github.com/secure-software-engineering/FlowDroid/issues/807
https://github.com/wala/WALA/issues/90
https://github.com/opalj/opal/issues/27"
7,163,0.05221012172,Multi-Language Support,"['language', 'rule', 'node', 'deprecate', 'core', 'remove', 'version', 'ruleset', 'need', 'parse']","['base language', 'language language', 'language specific', 'parseroptions', 'language version', 'languageregistry', 'language property', 'language', 'annotation', 'parser']","['language', 'node', 'common base', 'common', 'parse', 'base', 'core', 'need', 'comma_expression', 'parser']","['common base', 'parse', 'core', 'base language', 'comma_expression', 'parser', 'grammar', 'language version', 'xml', 'heavy_check_mark']","https://github.com/diffblue/cbmc/issues/2908
https://github.com/pmd/pmd/issues/4120
https://github.com/pmd/pmd/issues/334
https://github.com/pmd/pmd/issues/677
https://github.com/soot-oss/SootUp/issues/317",9,58,36,0,4,65,"pmd/pmd (98)
soot-oss/SootUp (19)
diffblue/cbmc (16)
phpstan/phpstan (14)
facebook/infer (3)
scottrogowski/code2flow (3)
spotbugs/spotbugs (2)
arguslab/Argus-SAF (2)
wala/WALA (2)
soot-oss/soot (2)
cs-au-dk/TAJS (1)
opalj/opal (1)",specifying different language options,Improvements for language support,Y,"https://github.com/facebook/infer/issues/685
https://github.com/soot-oss/soot/issues/1459
https://github.com/phpstan/phpstan/issues/171
https://github.com/spotbugs/spotbugs/issues/856
https://github.com/pmd/pmd/issues/712
https://github.com/diffblue/cbmc/issues/1945
https://github.com/secure-software-engineering/phasar/issues/564
https://github.com/soot-oss/SootUp/issues/162
https://github.com/secure-software-engineering/FlowDroid/issues/249
https://github.com/wala/WALA/issues/1280
https://github.com/security-code-scan/security-code-scan/issues/37
https://github.com/scottrogowski/code2flow/issues/98
https://github.com/cs-au-dk/TAJS/issues/15
https://github.com/vitsalis/PyCG/issues/54
https://github.com/opalj/opal/issues/245"
8,66,0.02114029468,Test Suites,"['test', 'unit', 'source', 'suite', 'test suite', 'regression', 'unit test', 'test source', 'test test', 'coverage']","['test test', 'test', 'testing', 'test separately', 'test module', 'create test', 'test implement', 'test suite', 'test need', 'unit test']","['test', 'suite', 'unit', 'regression', 'source', 'junit', 'bytecode', 'coverage', 'write', 'build']","['test suite', 'unit test', 'regression test', 'junit', 'create test', 'test source', 'testing', 'minimaltestsuite', 'testcase', 'integration test']","https://github.com/soot-oss/SootUp/issues/257
https://github.com/diffblue/cbmc/issues/257
https://github.com/facebook/infer/issues/1139
https://github.com/soot-oss/SootUp/issues/823
https://github.com/diffblue/cbmc/issues/921",6,18,5,1,2,14,"soot-oss/SootUp (22)
diffblue/cbmc (10)
pmd/pmd (8)
spotbugs/spotbugs (7)
phpstan/phpstan (5)
wala/WALA (4)
facebook/infer (3)
soot-oss/soot (3)
secure-software-engineering/phasar (2)
arguslab/Argus-SAF (1)
security-code-scan/security-code-scan (1)",improve tests,Improvements for test suites,Y,"https://github.com/phpstan/phpstan/issues/8021
https://github.com/spotbugs/spotbugs/issues/2547
https://github.com/pmd/pmd/issues/1572
https://github.com/diffblue/cbmc/issues/182
https://github.com/secure-software-engineering/phasar/issues/512
https://github.com/wala/WALA/issues/1118
https://github.com/arguslab/Argus-SAF/issues/42
https://github.com/opalj/opal/issues/7"
9,55,0.01761691224,Call Graph,"['graph', 'callgraph', 'algorithm', 'edge', 'spark', 'graph algorithm', 'call', 'handle', 'worklist', 'entrypoint']","['graph algorithm', 'graph implementation', 'graph construction', 'graph', 'create graph', 'generate graph', 'give graph', 'graphql', 'graph worklist', 'dependency graph']","['graph', 'callgraph', 'spark', 'edge', 'call', 'handle', 'worklist', 'entrypoint', 'helper', 'classhierarchy']","['graph', 'callgraph', 'algorithm', 'spark', 'edge', 'graph algorithm', 'analysisscope', 'implementation', 'node', 'generate graph']","https://github.com/soot-oss/SootUp/issues/71
https://github.com/soot-oss/SootUp/issues/1298
https://github.com/soot-oss/SootUp/issues/1000
https://github.com/soot-oss/SootUp/issues/429
https://github.com/scottrogowski/code2flow/issues/3",6,16,1,0,1,2,"soot-oss/SootUp (25)
soot-oss/soot (7)
phpstan/phpstan (4)
scottrogowski/code2flow (4)
wala/WALA (3)
facebook/infer (3)
secure-software-engineering/FlowDroid (2)
secure-software-engineering/phasar (2)
opalj/opal (2)
vitsalis/PyCG (2)
diffblue/cbmc (1)",call-graph generation,Improvements for call graph algorithms,Y,"https://github.com/soot-oss/soot/issues/1001
https://github.com/spotbugs/spotbugs/issues/3143
https://github.com/soot-oss/SootUp/issues/1119
https://github.com/secure-software-engineering/FlowDroid/issues/507
https://github.com/wala/WALA/issues/33"
10,56,0.01793721973,XPath,"['xpath', 'rule', 'node', 'attribute', 'expression', 'xpath rule', 'xpath query', 'query', 'xpath expression', 'tree']","['rule xpath', 'xpath support', 'xpath rule', 'core xpath', 'xpath expression', 'xpath', 'xpath query', 'xpath attribute', 'resolution xpath', 'attribute node']","['xpath', 'rule', 'node', 'attribute', 'expression', 'element', 'saxon', 'designer', 'match', 'core']","['xpath', 'attribute', 'xpath rule', 'xpath query', 'xpath expression', 'rule xpath', 'element', 'saxon', 'domnode', 'xpath attribute']","https://github.com/pmd/pmd/issues/1115
https://github.com/pmd/pmd/issues/2523
https://github.com/pmd/pmd/issues/569
https://github.com/pmd/pmd/issues/2511
https://github.com/pmd/pmd/issues/3876",2,20,11,0,1,16,"pmd/pmd (47)
phpstan/phpstan (4)
security-code-scan/security-code-scan (2)
cs-au-dk/TAJS (1)
wala/WALA (1)
soot-oss/soot (1)",Improvements for XPath support,Improvements for XPath support,Y,"https://github.com/phpstan/phpstan/issues/824
https://github.com/spotbugs/spotbugs/issues/390
https://github.com/pmd/pmd/issues/1435
https://github.com/diffblue/cbmc/issues/1091
https://github.com/soot-oss/SootUp/issues/849
https://github.com/secure-software-engineering/FlowDroid/issues/784"
11,114,0.03651505445,Error Management,"['error', 'baseline', 'file', 'ignore', 'ignore error', 'line', 'feature', 'level', 'request', 'feature request']","['regenerate baseline', 'error baseline', 'update baseline', 'remove error', 'baseline remove', 'baseline file', 'issue baseline', 'ignore error', 'ignore baseline', 'remove ignore']","['baseline', 'error', 'ignore', 'file', 'baseline file', 'remove', 'regenerate', 'line', 'generate', 'unmatched']","['baseline', 'ignore error', 'baseline file', 'error baseline', 'error pattern', 'generate baseline', 'baseline feature', 'regenerate baseline', 'remove ignore', 'find error']","https://github.com/phpstan/phpstan/issues/3973
https://github.com/phpstan/phpstan/issues/3082
https://github.com/phpstan/phpstan/issues/9695
https://github.com/phpstan/phpstan/issues/11929
https://github.com/phpstan/phpstan/issues/6852",53,13,24,1,0,1,"phpstan/phpstan (95)
diffblue/cbmc (6)
pmd/pmd (3)
wala/WALA (3)
facebook/infer (3)
security-code-scan/security-code-scan (2)
soot-oss/soot (1)
vitsalis/PyCG (1)",reporting and handlind errors regarding baseline,"Improvements for error management (e.g., PHPStan baseline fle)",Y,"https://github.com/facebook/infer/issues/262
https://github.com/soot-oss/soot/issues/300
https://github.com/phpstan/phpstan/issues/808
https://github.com/spotbugs/spotbugs/issues/1244
https://github.com/pmd/pmd/issues/4333
https://github.com/diffblue/cbmc/issues/2215
https://github.com/secure-software-engineering/phasar/issues/4
https://github.com/soot-oss/SootUp/issues/50
https://github.com/wala/WALA/issues/441
https://github.com/arguslab/Argus-SAF/issues/24
https://github.com/opalj/opal/issues/41
https://github.com/MIT-PAC/droidsafe-src/issues/8"
12,105,0.033632287,Language Version Support,"['update', 'preview', 'version', 'support', 'module', 'jep', 'update update', 'kotlin', 'remove', 'release']","['support openjdk', 'openjdk schedule', 'openjdk', 'jdk22', 'jep pattern', 'javadoc', 'follow jeps', 'jeps', 'jsp', 'jeps important']","['preview', 'update', 'version', 'jep', 'support', 'release', 'experimental', 'remove', 'language', 'pattern']","['jep', 'update update', 'preview update', 'version preview', 'language version', 'update implementation', 'preview feature', 'openjdk', 'patterns', 'dependency update']","https://github.com/spotbugs/spotbugs/issues/1244
https://github.com/soot-oss/soot/issues/300
https://github.com/pmd/pmd/issues/4333
https://github.com/pmd/pmd/issues/5478
https://github.com/pmd/pmd/issues/4015",9,22,16,1,4,23,"pmd/pmd (35)
soot-oss/SootUp (19)
spotbugs/spotbugs (15)
soot-oss/soot (10)
wala/WALA (7)
facebook/infer (5)
diffblue/cbmc (5)
opalj/opal (4)
arguslab/Argus-SAF (2)
phpstan/phpstan (1)
secure-software-engineering/phasar (1)
MIT-PAC/droidsafe-src (1)",handlind different language versions,"Dependency compatibility updates (e.g., JDK)",N,"https://github.com/phpstan/phpstan/issues/9660
https://github.com/spotbugs/spotbugs/issues/873
https://github.com/soot-oss/SootUp/issues/1179"
13,68,0.02178090967,Missing Results,"['report', 'feature request', 'feature', 'request', 'error', 'today', 'way', 'happy way', 'today happy', 'help today']","['report error', 'request report', 'report invalid', 'response report', 'report closure', 'report unreachable', 'unresolvable report', 'undefined report', 'request error', 'report useless']","['report', 'request', 'feature', 'error', 'unreachable', 'way', 'response', 'today', 'happy way', 'happy']","['report', 'feature request', 'feature', 'report error', 'error', 'request report', 'way response', 'response report', 'report unreachable', 'unreachable statement']","https://github.com/phpstan/phpstan/issues/9660
https://github.com/phpstan/phpstan/issues/11320
https://github.com/phpstan/phpstan/issues/4710
https://github.com/phpstan/phpstan/issues/10900
https://github.com/spotbugs/spotbugs/issues/873",20,7,16,0,0,0,"phpstan/phpstan (64)
soot-oss/SootUp (2)
spotbugs/spotbugs (2)",Improvements for missing reports ,Improvements for missing reports ,Y,"https://github.com/facebook/infer/issues/1724
https://github.com/soot-oss/soot/issues/265
https://github.com/phpstan/phpstan/issues/2884
https://github.com/spotbugs/spotbugs/issues/464
https://github.com/pmd/pmd/issues/3752
https://github.com/diffblue/cbmc/issues/1824
https://github.com/soot-oss/SootUp/issues/719
https://github.com/wala/WALA/issues/5"
